# candidate verify watch: ['0x140d506b4', '0x140d508d0', '0x140d508d8', '0x140d508ec', '0x140d50904', '0x140d50924', '0x140d50938', '0x140d4955c', '0x140d50916', '0x140d49554', '0x140d3a8ea', '0x140d494d0']
06:39:08.528 0x140d506b4: BASE 0
06:39:36.172 0x140d508d0: 1 -> 0
06:39:36.172 0x140d508d8: 1 -> 0
06:39:36.172 0x140d508ec: 1 -> 0
06:39:37.332 0x140d506b4: 0 -> 1
06:39:37.383 0x140d506b4: 1 -> 0
06:39:39.551 0x140d506b4: 0 -> 1
06:39:39.602 0x140d506b4: 1 -> 0
06:39:41.419 0x140d506b4: 0 -> 1
06:39:41.470 0x140d506b4: 1 -> 0
06:39:43.690 0x140d506b4: 0 -> 1
06:39:43.740 0x140d506b4: 1 -> 0
06:39:52.213 0x140d506b4: 0 -> 1
06:39:52.213 0x140d3a8ea: 6 -> 255
06:39:52.264 0x140d508d0: 0 -> 1
06:39:52.264 0x140d508d8: 0 -> 1
06:39:52.264 0x140d508ec: 0 -> 1
06:39:52.668 0x140d3a8ea: 255 -> 1
06:39:53.777 0x140d50904: 0 -> 1
06:39:53.777 0x140d50924: 0 -> 1
06:39:53.777 0x140d50938: 0 -> 1
06:39:53.777 0x140d50916: 1 -> 0
06:39:53.777 0x140d49554: 0 -> 15
06:39:53.777 0x140d3a8ea: 1 -> 255
06:39:53.777 0x140d494d0: 3 -> 4
06:39:53.828 0x140d49554: 15 -> 12
06:39:53.878 0x140d49554: 12 -> 9
06:39:53.928 0x140d49554: 9 -> 6
06:39:53.978 0x140d508d8: 1 -> 65
06:39:53.978 0x140d50904: 1 -> 0
06:39:53.978 0x140d49554: 6 -> 3
06:39:54.029 0x140d4955c: 1 -> 0
06:39:54.029 0x140d49554: 3 -> 2
06:39:54.231 0x140d3a8ea: 255 -> 3
06:39:59.426 0x140d508d8: 65 -> 1
06:39:59.426 0x140d50924: 1 -> 0
06:39:59.426 0x140d50938: 1 -> 153
06:39:59.426 0x140d3a8ea: 3 -> 255
06:39:59.880 0x140d506b4: 1 -> 0
06:39:59.880 0x140d508d0: 1 -> 0
06:39:59.880 0x140d508d8: 1 -> 0
06:39:59.880 0x140d508ec: 1 -> 0
06:39:59.880 0x140d50938: 153 -> 0
06:39:59.880 0x140d50916: 0 -> 1
06:39:59.880 0x140d3a8ea: 255 -> 1
06:39:59.930 0x140d506b4: 0 -> 1
06:39:59.930 0x140d508d0: 0 -> 1
06:39:59.930 0x140d508d8: 0 -> 1
06:39:59.981 0x140d508ec: 0 -> 1
06:40:00.384 0x140d508d8: 1 -> 0
06:40:00.435 0x140d506b4: 1 -> 0
06:40:00.435 0x140d508d0: 1 -> 0
06:40:00.435 0x140d508ec: 1 -> 0
06:40:00.435 0x140d3a8ea: 1 -> 255
06:40:00.939 0x140d3a8ea: 255 -> 6
06:40:03.462 0x140d506b4: 0 -> 1
06:40:03.512 0x140d506b4: 1 -> 0
06:40:17.270 0x140d506b4: 0 -> 1
06:40:17.321 0x140d506b4: 1 -> 0
06:40:26.444 0x140d506b4: 0 -> 1
06:40:26.494 0x140d506b4: 1 -> 0
06:40:28.664 0x140d506b4: 0 -> 1
06:40:28.715 0x140d506b4: 1 -> 0
06:40:30.883 0x140d506b4: 0 -> 1
06:40:30.933 0x140d506b4: 1 -> 0
06:40:42.880 0x140d506b4: 0 -> 1
06:40:42.931 0x140d506b4: 1 -> 0
06:40:45.350 0x140d506b4: 0 -> 1
06:40:45.400 0x140d506b4: 1 -> 0
06:40:52.760 0x140d506b4: 0 -> 1
06:40:52.810 0x140d506b4: 1 -> 0
06:40:58.352 0x140d506b4: 0 -> 1
06:40:58.402 0x140d506b4: 1 -> 0
06:41:01.123 0x140d506b4: 0 -> 1
06:41:01.173 0x140d506b4: 1 -> 0
06:41:03.291 0x140d506b4: 0 -> 1
06:41:03.342 0x140d506b4: 1 -> 0
